year,total_days,days_above_400pct,days_below_400pct,pct_open,longest_open_window,longest_closed_window
2021,264,191,73,72.3,69,16
2022,329,112,217,34.0,21,58
2023,316,94,222,29.7,51,69
2024,323,223,100,69.0,99,27
2025,337,245,92,72.7,82,28
2026,58,0,58,0.0,0,58
