date,erg_in_contract,sigusd_circulating,erg_price,reserves_usd,reserve_ratio,mint_available,redeem_available
2021-03-26,0.001,-0.01,2.415599627701262,0.002415599627701262,0.002415599627701262,False,False
2021-03-27,19.252664969,13.54,2.8011627011401674,53.92984700871072,3.9830019947349133,False,True
2021-03-29,6929.376338655,10.99,2.8230538829391554,19562.002779186707,1779.9820545210835,True,True
2021-03-30,1220918.81869741,5361.11,2.784272492514748,3399370.6824927996,634.0796369581672,True,True
2021-03-31,1281273.122130939,5396.11,2.5259115243880776,3236382.5450792317,599.7621518240421,True,True
2021-04-02,1289840.500644853,6420.29,2.2224397297738365,2866592.773704497,446.48960930183796,True,True
2021-04-03,1303482.917226407,7379.12,2.4622200150480937,3209461.728068137,434.938275575968,True,True
2021-04-04,1317217.918144062,8379.12,2.4000560347018483,3161396.813459061,377.29461010930277,True,True
2021-04-05,1318702.337449015,9479.12,2.3423942024155293,3088920.7099523796,325.865767070401,True,True
2021-04-06,1369422.805004965,131604.12,2.438091934740856,3338778.696132805,25.36986453108615,True,True
2021-04-07,1411308.359218824,232452.66,2.428725142410148,3427680.095728371,14.745712506487862,True,True
2021-04-08,1411302.454380724,232452.66,2.502664892694089,3532017.1055516396,15.194565231267473,True,True
2021-04-09,1410725.157598983,230996.65,2.3890461655037747,3370287.5283415588,14.59020088967333,True,True
2021-04-10,1410695.718741983,230996.65,2.432087788814465,3430935.8312852215,14.852751463214819,True,True
2021-04-11,1377355.057643271,869031.84,2.487706364884036,3426454.9436043836,3.9428416611345147,False,True
2021-04-12,1411940.123655777,1030716.44,2.926795993798105,4132460.697398529,4.009308998116426,True,True
2021-04-13,1420115.704706506,1075868.04,2.9203841819666434,4147283.4405872934,3.854825393444435,False,True
2021-04-14,1398985.506120185,1192635.26,3.4699297842514185,4854381.475422475,4.070298471154102,True,True
2021-04-15,1382339.666422924,1218756.45,3.5171863014481817,4861946.138691157,3.9892680270050325,False,True
2021-04-16,1391237.620819338,1281613.04,3.6705557733005256,5106615.2811313085,3.9845219436369876,False,True
2021-04-17,1425274.207433144,1359721.48,3.7964609920646,5410997.931515721,3.9794899257719463,False,True
2021-04-18,1460859.71816118,1428911.43,3.926792686074377,5736493.256655998,4.01458980327143,True,True
2021-04-19,1474557.654317943,1428911.43,3.589848190882984,5293438.127705924,3.7045250087375425,False,True
2021-04-20,1500781.416169374,1428911.43,3.439006457370215,5161196.981307694,3.6119782324840766,False,True
2021-04-21,1514354.341759257,1428911.43,3.5487459945173745,5374058.904598159,3.7609461242801867,False,True
2021-04-22,1516736.097436951,1428911.43,3.4079798426253487,5169006.046647366,3.6174432775356595,False,True
2021-04-23,1537507.093274597,1428911.43,3.2251852227556133,4958745.157111167,3.470295676136601,False,True
2021-04-24,1529116.892483297,1307661.43,3.095589317646347,4733517.917803872,3.6198344687767325,False,True
2021-04-25,1532648.102004099,1307506.43,3.010436973081821,4613940.512996817,3.52880904225979,False,True
2021-04-26,1539062.30290888,1307506.43,2.788339318833957,4291427.933335967,3.282146714441754,False,True
2021-04-27,1555893.178012168,1307506.43,3.184833874967183,4955261.299163498,3.7898561609088977,False,True
2021-04-28,1578623.600419968,1478352.06,3.7566134630459223,5930278.670419678,4.011411646032189,True,True
2021-04-29,1597197.612820018,1517665.0,3.757249988127557,6001070.711805375,3.9541471351091153,False,True
2021-04-30,1541575.028095611,1307606.43,3.5390787518951274,5455755.4263853105,4.172322268547815,True,True
2021-05-01,1567080.84849943,1430692.86,3.714361646288812,5820705.000300012,4.068451841089087,True,True
2021-05-02,1577474.618449874,1370606.43,3.5826094136642617,5651475.417874958,4.123339343939134,True,True
2021-05-03,1584834.816593748,1380712.43,3.511877568493749,5565745.842163488,4.031068107472233,True,True
2021-05-04,1638260.282725884,1574358.78,3.863996200918267,6330231.5085681025,4.020831584886961,True,True
2021-05-05,1600878.822810506,1380510.43,3.799090835481817,6081884.064456313,4.405532861100016,True,True
2021-05-07,1682221.101116136,1671531.67,3.824578557607573,6433786.752483774,3.8490367056484036,False,True
2021-05-09,1691787.794759749,1675490.67,3.997660340741236,6763192.972061122,4.036544692941276,True,True
2021-05-10,1344550.389742821,1615194.6,5.013949100319262,6741507.216984931,4.173804950180573,True,True
2021-05-11,1390445.446864661,1811585.61,4.9597600756785525,6896275.81476837,3.8067623062916525,False,True
2021-05-12,1431689.662314909,2015340.29,5.332371337514489,7634300.9195438195,3.7880952201594797,False,True
2021-05-13,1442099.583245294,2057238.18,5.613747011147436,8095582.225220231,3.9351701246475175,False,True
2021-05-14,1452763.733746294,1961904.29,5.819745314768795,8454714.932936016,4.309443114034893,True,True
2021-05-15,1075586.348868558,347526.9,9.168502156744507,9861515.759366324,28.37626600808836,True,True
2021-05-16,1234103.46150641,3619640.67,9.929612332891216,12254168.951437788,3.38546559414081,False,True
2021-05-17,1175329.902898974,3107671.9,12.583513942795555,14789780.220513785,4.759118947052868,True,True
2021-05-18,1130947.039699043,1994149.9,14.14930582186112,16002115.533030266,8.024529917751051,True,True
2021-05-19,1274184.525409556,4851054.3,18.05563408409137,23006209.546406567,4.742517424801155,True,True
2021-05-20,1348734.59034422,5437209.3,10.332112869414049,13935278.0183194,2.5629467709325446,False,True
2021-05-21,1420312.360913538,2866654.11,12.42530695101346,17647817.050669324,6.156242216006076,True,True
2021-05-22,1520897.529960791,4052365.61,9.776380363988704,14868872.747547599,3.669183429761561,False,True
2021-05-24,1474119.30769648,3282874.8,7.683436963954784,11326302.778034572,3.450117189371514,False,True
2021-05-25,1411787.100587761,3272042.6,9.579143463235123,13523711.176074918,4.133109751100098,True,True
2021-05-26,1471327.727057401,2800749.3,11.368157451400368,16726285.263799561,5.972075138535092,True,True
2021-05-27,1505794.603890453,3932749.3,13.243338772433976,19941748.061024297,5.070688859069735,True,True
2021-05-28,1558358.270449563,4629342.3,12.415922555729512,19348455.59998236,4.17952580434209,True,True
2021-05-29,1470827.865527944,3604712.3,10.898709446404752,16030125.552064741,4.446991664789654,True,True
2021-05-30,1488055.937059724,3566841.3,9.969049702440104,14834503.596559472,4.1590029801885136,True,True
2021-05-31,1473116.201510979,3338300.3,11.574742139330946,17050940.173760265,5.1076711624056905,True,True
2021-06-01,1473701.25398563,3341060.3,12.80824467927661,18875526.245204717,5.649561681124019,True,True
2021-06-03,1475457.561186676,3347600.3,12.157966184475493,17938563.135536287,5.358633506974022,True,True
2021-06-04,1501729.124401837,3648087.3,11.816601378950685,17745334.44221715,4.864284481957751,True,True
