date,erg_price,strategy,regime,sigmausd_ratio,erg_reserves,sigusd_reserves,total_usd,reserve_ratio,interventions,accum_path,window
2021-06-01,12.80824467927661,A_100pct_erg,current,5.649561681124019,8588.304077137032,0.0,110001.10000000002,1.1000110000000003,0,none,hypothetical_full
2021-06-02,12.456653218577916,A_100pct_erg,current,5.358633506974022,8502.506060576025,0.0,105912.76948545258,1.0591276948545258,1,none,hypothetical_full
2021-06-03,12.157966184475493,A_100pct_erg,current,5.358633506974022,8417.565174780264,0.0,102340.472750597,1.02340472750597,1,none,hypothetical_full
2021-06-04,11.816601378950685,A_100pct_erg,current,4.864284481957751,8333.472856927692,0.0,98473.32685261987,0.9847332685261987,1,none,hypothetical_full
2021-06-05,10.566941087501457,A_100pct_erg,current,4.2377074953966565,8250.220629739699,0.0,87179.59535334856,0.8717959535334856,1,none,hypothetical_full
2021-06-06,10.011356629395118,A_100pct_erg,current,4.2377074953966565,8167.800100626537,0.0,81770.75968498159,0.8177075968498159,1,none,hypothetical_full
2021-06-07,9.93591892519622,A_100pct_erg,current,4.947314094290027,8167.881778627543,0.0,81155.41114303077,0.8115541114303076,0,none,hypothetical_full
2021-06-08,9.561209733702816,A_100pct_erg,current,4.0163492174814035,8086.283822870876,0.0,77314.65559671664,0.7731465559671663,1,none,hypothetical_full
2021-06-09,8.818766046608063,A_100pct_erg,current,4.0955633775859495,8005.501038852013,0.0,70598.64074751371,0.7059864074751371,1,none,hypothetical_full
2021-06-10,9.98801082310105,A_100pct_erg,current,4.513558580810424,8005.581093862402,0.0,79959.83061071081,0.799598306107108,0,none,hypothetical_full
2021-06-11,8.886063450273632,A_100pct_erg,current,4.083528746109183,7925.604538176607,0.0,70427.42480801398,0.7042742480801398,1,none,hypothetical_full
2021-06-12,9.406517597789549,A_100pct_erg,current,4.700928580932378,7925.683794221989,0.0,74553.08408486457,0.7455308408486457,0,none,hypothetical_full
2021-06-13,8.933257961596135,A_100pct_erg,current,4.35235113044039,7846.505420549332,0.0,70094.85701882954,0.7009485701882954,1,none,hypothetical_full
