height,sigusd_balance_raw
1677739,9999974656970
1677739,9999974656970
1677735,9999974654566
1677647,9999974652546
1677638,9999974651003
1677566,9999974635933
1677565,9999974634770
1677498,9999974623611
1677141,9999974622345
1677128,9999974621177
1677127,9999974619814
1677125,9999974618743
1677031,9999974615723
1677024,9999974605674
1677017,9999974603232
1676031,9999974601864
1675968,9999974551865
1675963,9999974524560
1675399,9999974514507
1675390,9999974513108
1675387,9999974501302
1675218,9999974500000
1675215,9999974471465
1675202,9999974465984
1675197,9999974464667
1675196,9999974463350
1675195,9999974462134
1675193,9999974460715
1675192,9999974459600
1675186,9999974456862
1675184,9999974432963
1675183,9999974431230
1675181,9999974404347
1675178,9999974402005
1675176,9999974400579
1675175,9999974398745
1675138,9999974394871
1674645,9999974379041
1674586,9999974359957
1674535,9999974357388
1674532,9999974355846
1674426,9999974354715
1674420,9999974353275
1674416,9999974350394
1674415,9999974348644
1674406,9999974323675
1674399,9999974302942
1674397,9999974301176
1674396,9999974300033
1674311,9999974293378
1674271,9999974252159
1674243,9999974233114
1674242,9999974231856
1674240,9999974230388
1674238,9999974228395
1674234,9999974226821
1674232,9999974206528
1674231,9999974205159
1674230,9999974203895
1674229,9999974202736
1674228,9999974201155
1673874,9999974181508
1673820,9999974180039
1673815,9999974159431
1673813,9999974157851
1673811,9999974156376
1673809,9999974155217
1673716,9999974151316
1673708,9999974126680
1673689,9999974107146
1673129,9999974100542
1671294,9999973950542
1671292,9999973949310
1671291,9999973947872
1671290,9999973946742
1671288,9999973945509
1671286,9999973942631
1671284,9999973941397
1671282,9999973939957
1671280,9999973938311
1671279,9999973937282
1671215,9999973934297
1671202,9999973909428
1670396,9999973907463
1670366,9999973900664
1670328,9999973884189
1670324,9999973882736
1670323,9999973881179
1670322,9999973879933
1670321,9999973878375
1670318,9999973874842
1670312,9999973858707
1670311,9999973857352
1670309,9999973856101
1670308,9999973854954
1670307,9999973853911
1670306,9999973852346
1670297,9999973849946
1670291,9999973848380
1670289,9999973846918
1670288,9999973844515
1670283,9999973822424
1670282,9999973821060
1670281,9999973817911
1670266,9999973800350
1670265,9999973799297
1670263,9999973797928
1670239,9999973795294
1670232,9999973792237
1670218,9999973778402
1670113,9999973775758
1670111,9999973774171
1670110,9999973773007
1670060,9999973769619
1670053,9999973764639
1670011,9999973747018
1670008,9999973745636
1670006,9999973744041
1670002,9999973741595
1669941,9999973739999
1669895,9999973725824
1669894,9999973724650
1669892,9999973723369
1669891,9999973721981
1669889,9999973720379
1669886,9999973717815
1669885,9999973715998
1669778,9999973712469
1669675,9999973672311
1669669,9999973667604
1669654,9999973663827
1669653,9999973662425
1669652,9999973660699
1669650,9999973659512
1669639,9999973644599
1669341,9999973643082
1669340,9999973641668
1669338,9999973640036
1669337,9999973638839
1669332,9999973635573
1669301,9999973631869
1669300,9999973617465
1669299,9999973616154
1668689,9999973612329
1668022,9999973612319
1668020,9999973587981
1668018,9999973586438
1668016,9999973584586
1668014,9999973583351
1668008,9999973555585
1668006,9999973533500
1668004,9999973531526
1668003,9999973530071
1667997,9999973507784
1667996,9999973506218
1667994,9999973483300
1667992,9999973481517
1667990,9999973480363
1667987,9999973459337
1667837,9999973455440
1667832,9999973441648
1667824,9999973414451
1667197,9999973403711
1666996,9999973303711
1666903,9999973292808
1666902,9999973291709
1666901,9999973290170
1666897,9999973266925
1666895,9999973265711
1666893,9999973264055
1666890,9999973239489
1666889,9999973238269
1666888,9999973236383
1666882,9999973211139
1666877,9999973187349
1666875,9999973185110
1666827,9999973174126
1666703,9999973024126
1666616,9999972874185
1666499,9999972848295
1666493,9999972838097
1666485,9999972835248
1666469,9999972833464
1666465,9999972814521
1666463,9999972812970
1666461,9999972811538
1666376,9999972808195
1664886,9999972792526
1664593,9999972912526
1664288,9999973012526
1663932,9999973022303
1663922,9999973023842
1663920,9999973025383
1663914,9999973048376
1663908,9999973071001
1663906,9999973072527
1663808,9999973091225
1663807,9999973093501
1663805,9999973097548
1663803,9999973101595
1663687,9999973105642
1663686,9999973112717
1663685,9999973115940
1663683,9999973119163
1663663,9999973122386
1663545,9999973524886
1663544,9999973526372
1663535,9999973527858
1663534,9999973529343
1663533,9999973530828
1663532,9999973532313
1663522,9999973533798
1663515,9999973557538
1663512,9999973597156
1663511,9999973598992
1663510,9999973600828
1663444,9999973607684
1663433,9999973618011
1663432,9999973639071
1663343,9999973742557
1663299,9999973738057
1663128,9999973537808
1663105,9999973737808
1662921,9999974217808
1662916,9999974219712
1662915,9999974221616
1662914,9999974223520
1662912,9999974225424
1662910,9999974227328
1662904,9999974229232
1662897,9999974231517
1662894,9999974269112
1662893,9999974272387
1662892,9999974275662
1662890,9999974278937
1662887,9999974292289
1662886,9999974293918
1662835,9999974295547
1662827,9999974312928
1662825,9999974314552
1662824,9999974316176
1662819,9999974317800
1662815,9999974338038
1662814,9999974339405
1662812,9999974340772
1662803,9999974363148
1662796,9999974387023
1662767,9999974405118
1662763,9999974437603
1662762,9999974445532
1662761,9999974453461
1662760,9999974469319
1662759,9999974471018
1662758,9999974472717
1662753,9999974474416
1662750,9999974494930
1662749,9999974496622
1662748,9999974498314
1662747,9999974518498
1662743,9999974519941
1662742,9999974521384
1662739,9999974544120
1662737,9999974545676
1662731,9999974568301
1662727,9999974584382
1662724,9999974586045
1662722,9999974587708
1662720,9999974589371
1662719,9999974591034
1662717,9999974603626
1662715,9999974605401
1662713,9999974607176
1662712,9999974608951
1662710,9999974610726
1662702,9999974612501
1662693,9999974635080
1662672,9999974649314
1662654,9999974666814
1662654,9999974666814
1662653,9999974755042
1662648,9999974756692
1662645,9999974757988
1662642,9999974779785
1662640,9999974780957
1662633,9999974782129
1662630,9999974823552
1662628,9999974825531
1662627,9999974827510
1662626,9999974829489
1662625,9999974831468
1662623,9999974857434
1662614,9999974881651
1662609,9999974947258
1662609,9999974947258
1662604,9999975149656
1662596,9999975263832
1661949,9999975268831
1661948,9999975267561
1661938,9999975265313
1661927,9999975262575
1661924,9999975260325
1661923,9999975258857
1661922,9999975256997
1661920,9999975255724
1661918,9999975191564
1661917,9999975189409
1661917,9999975189409
1661917,9999975189409
1661917,9999975189409
1661917,9999975189409
1660667,9999974609433
1660596,9999974599433
1660587,9999974593693
1660585,9999974474078
1660578,9999974444889
1660577,9999974425368
1660576,9999974424266
1660573,9999974421786
1660569,9999974418202
1660568,9999974416455
1659965,9999974391308
1659955,9999974280204
1659948,9999974278082
1659947,9999974261172
1659945,9999974259817
1659943,9999974257590
1659941,9999974256234
1659939,9999974254393
1659936,9999974251485
1659929,9999974222320
1659926,9999974198776
1659923,9999974195152
1659920,9999974174339
1659918,9999974173159
1659917,9999974171782
1659916,9999974170700
1659912,9999974166861
1659863,9999974165081
1659862,9999974163894
1659858,9999974162212
1659856,9999974144769
1659854,9999974143578
1659852,9999974142486
1659850,9999974141394
1659849,9999974140103
1659845,9999974137520
1659839,9999974136228
1659814,9999974133146
1659808,9999974107620
1659802,9999974094911
1659792,9999974088778
1659715,9999974061858
1659496,9999973974674
1659494,9999973958925
1659491,9999973957704
1659489,9999973956279
1659486,9999973955159
1659484,9999973953937
1659482,9999973952409
1659412,9999973949046
1659405,9999973932710
1659403,9999973931381
1659402,9999973930154
1659397,9999973928006
1659395,9999973926471
1659393,9999973925038
1659388,9999973922171
1659386,9999973920122
1659385,9999973900202
1659384,9999973898350
1659377,9999973874940
1659375,9999973873700
1659359,9999973871116
1659294,9999973869358
1659278,9999973853506
1659276,9999973852157
1659275,9999973850600
1659273,9999973849458
1659271,9999973848108
1659264,9999973845199
1659228,9999973843640
1659220,9999973820618
1659217,9999973819470
1658763,9999973780156
1658684,9999973778432
1658665,9999973765023
1658664,9999973763904
1658660,9999973761360
1658653,9999973758713
1658646,9999973757389
1658632,9999973754740
1658616,9999973753415
1657331,9999973658180
1657203,9999973608180
1656843,9999973558180
1656806,9999973555611
1656616,9999973526147
1656275,9999973505325
1656222,9999973504160
1656208,9999973502465
1656202,9999973474213
1656195,9999973449671
1656190,9999973425450
1656179,9999973420505
1656164,9999973401798
1656157,9999973399089
1656150,9999973397246
1656148,9999973394860
1656148,9999973394860
1656137,9999973200106
1656134,9999973176738
1656132,9999973175104
1656124,9999973155131
1656123,9999973153710
1656122,9999973152398
1656119,9999973149554
1656114,9999973148022
1656107,9999973125756
1656033,9999973117503
1655791,9999973111903
1655787,9999973110532
1655786,9999973109275
1655785,9999973108018
1655782,9999973105160
1655769,9999973101957
1655572,9999973086943
1655540,9999972996944
1655354,9999972946422
1655348,9999972943654
1655316,9999972941848
1655003,9999972939921
1655003,9999972939921
1654992,9999972887512
1654989,9999972870619
1654987,9999972869048
1654986,9999972866751
1654985,9999972864816
1654982,9999972842397
1654974,9999972818437
1654934,9999972804398
1654932,9999972801095
1654826,9999972797790
1654808,9999972779513
1654796,9999972776195
1654788,9999972773859
1654444,9999972766599
1654425,9999972748079
1654423,9999972746450
1654368,9999972743567
1654361,9999972741435
1654317,9999972726487
1654314,9999972724726
1654313,9999972723342
1654300,9999972719188
1653933,9999972717173
1653698,9999972716684
1653112,9999972715625
1653070,9999972615625
1653069,9999972555594
1653063,9999972325594
1653060,9999972075594
1653058,9999971825594
1653024,9999971575594
1653017,9999971325594
1651783,9999971228094
1651777,9999971305586
1651777,9999971305586
1651771,9999971560586
1651769,9999971562024
1651768,9999971563462
1651317,9999971590657
1651315,9999971592091
1651312,9999971593525
1651310,9999971598480
1651306,9999971602783
1651303,9999971604085
1651207,9999971607210
1651157,9999971357210
1651083,9999971353646
1650288,9999971253647
1650243,9999971291500
1650135,9999971416500
1650051,9999971541500
1650041,9999971841500
1649953,9999972041500
1649951,9999972233500
1649948,9999972316500
1649947,9999972546500
1649945,9999972796500
1649941,9999973046500
1649936,9999973296500
1649936,9999973296500
1649935,9999973496700
1649819,9999973796700
1649806,9999973696700
1649804,9999973698988
1649802,9999973701276
1649798,9999973725485
1649794,9999973727043
1649790,9999973828920
1649790,9999973828920
1649208,9999973971564
1649205,9999973970019
1649203,9999973968584
1649199,9999973957860
1649198,9999973580289
1649138,9999973290383
1648612,9999973290332
1648479,9999973288942
1648473,9999973285151
1648424,9999973283197
1648420,9999973257735
1648297,9999973254617
1648295,9999973237386
1648291,9999973236112
1648289,9999973234490
1648289,9999973234490
1648288,9999973185028
1648286,9999973161449
1648283,9999973158423
1648274,9999973141518
1648272,9999973139648
1648271,9999973138479
1648170,9999973122666
1648131,9999973117191
1648129,9999973102241
1648127,9999973100684
1648126,9999973098887
1648124,9999973097449
1648122,9999973094332
1648120,9999973092293
1648101,9999973083409
1648094,9999973080159
1648062,9999973078714
1648054,9999973065208
1648053,9999973063396
1648050,9999973060012
1648047,9999973058682
1647946,9999973041123
1647902,9999973027022
1647830,9999973023305
1647827,9999973020199
1647814,9999973017216
1647803,9999973015101
1647792,9999972991406
1647708,9999972976638
1647680,9999972966049
1647676,9999972963056
1647675,9999972961434
1647674,9999972959562
1647672,9999972958064
1647664,9999972956066
1647643,9999972952444
1646623,9999972935428
1645941,9999972935528
1645938,9999972914160
1645936,9999972911994
1645929,9999972889391
1645731,9999972864390
1645729,9999972870021
1645728,9999972875652
1645727,9999972881283
1645723,9999972898432
1645722,9999972900087
1645699,9999972901742
1645691,9999972924991
1645661,9999972939296
1645660,9999972954435
1645658,9999972958340
1645656,9999972962245
1645653,9999972981896
1645651,9999972983652
1645649,9999972985408
1645647,9999973006109
1645646,9999973007732
1645639,9999973030829
1645637,9999973032071
1645507,9999973044370
1645497,9999972944370
1645435,9999972794760
1645418,9999972610423
1645128,9999972495800
1645125,9999972519275
1645119,9999972532910
1645117,9999972535158
1645115,9999972537406
1645114,9999972539654
1645113,9999972541902
1645107,9999972560761
1645105,9999972653869
1645103,9999972753869
1645099,9999972758869
1645096,9999972828906
1645094,9999972830397
1645093,9999972831888
1645093,9999972831888
1645091,9999972893379
1645090,9999972894870
1644886,9999972921345
1644882,9999972668453
1644874,9999972172945
1644864,9999971922945
1644855,9999971603828
1644851,9999971353828
1644846,9999971329811
1644711,9999971317096
1644710,9999971437096
1644710,9999971437096
1644704,9999971687760
1644704,9999971687760
1644700,9999971914716
1644700,9999971914716
1644698,9999972248651
1644697,9999972498651
1644697,9999972498651
1644332,9999972998651
1644322,9999972953307
1644318,9999972853307
1644316,9999972851691
1644315,9999972849950
1644315,9999972849950
1644314,9999972744090
1644312,9999972742348
1644302,9999972731010
1644301,9999972480875
1644298,9999972230875
1644298,9999972230875
1644293,9999971860875
1644218,9999971669775
1644205,9999971734775
1644203,9999971798775
1644145,9999972048775
1643897,9999972100275
1643659,9999972083109
1643658,9999972081200
1643653,9999972077790
1643652,9999972063172
1643650,9999972061120
1643649,9999972059478
1643647,9999972057014
1643645,9999972054549
1643639,9999972033012
1643593,9999972007815
1643313,9999972000743
1643313,9999972000743
1643313,9999972000743
1643288,9999971595543
1643092,9999971495261
1643089,9999971710261
1642903,9999971761761
1642773,9999971767314
1642770,9999971768946
1642750,9999971780224
1642748,9999971782442
1642746,9999971784660
1642741,9999971806989
1642734,9999971815082
1642720,9999971822256
1642718,9999971823871
1642701,9999971825486
1642698,9999971827100
1642683,9999971828714
1642682,9999971830916
1642676,9999971852643
1642673,9999971863462
1642648,9999971870041
1642646,9999971892914
1642643,9999971921581
1642640,9999971923444
1642637,9999971925307
1642633,9999971947096
1642627,9999971966496
1642617,9999971967918
1642608,9999971984550
1642606,9999971986110
1642605,9999971987670
1642603,9999971989229
1642557,9999971990788
1642493,9999972011448
1642466,9999972021607
1642463,9999972023297
1642458,9999972025409
1642457,9999972027098
1642394,9999972028787
1642316,9999972054938
1642314,9999972059557
1642313,9999972064176
1642312,9999972068795
1642310,9999972092170
1642297,9999972110137
1642263,9999972121642
1641930,9999972131302
1641501,9999972182302
1641416,9999972432302
1641407,9999972433302
1641395,9999972443302
1641263,9999972452894
