snapped_at,price,market_cap,total_volume
2019-07-02 00:00:00 UTC,3.7203612322871766,3011057.3136502975,234258.35186605275
2019-07-03 00:00:00 UTC,3.422434915427924,2853143.5887706904,36604.403747391356
2019-07-04 00:00:00 UTC,4.693066550617739,3728143.143973999,157322.9624958697
2019-07-05 00:00:00 UTC,3.980802453079387,3157600.371399741,1159.278647909461
2019-07-06 00:00:00 UTC,3.0665094804485986,2625208.457023505,1922.2026428959975
2019-07-07 00:00:00 UTC,3.6894387532449326,2911000.901615183,7018.8620069810595
2019-07-08 00:00:00 UTC,3.8161179370428733,3015664.552777135,13404.231320111625
2019-07-09 00:00:00 UTC,2.461391397217837,1947549.2514648205,2729.342244496038
2019-07-10 00:00:00 UTC,1.7020791760281662,1350234.23583212,30916.64642414173
2019-07-11 00:00:00 UTC,1.6078740385591266,1275376.9425033694,4494.494329509612
2019-07-12 00:00:00 UTC,1.343143673718849,1088513.7060100914,13263.896328447277
2019-07-13 00:00:00 UTC,1.5796561618408065,1250263.7657143977,2847.8179602729074
2019-07-14 00:00:00 UTC,1.444593746805005,1145861.8721219576,470.0198109210729
2019-07-15 00:00:00 UTC,1.367144481046518,1074878.420881784,499.96418395485506
2019-07-16 00:00:00 UTC,1.3602355413947878,1081865.2719390246,1720.1125242674839
2019-07-17 00:00:00 UTC,1.1227364638731865,890562.4222994583,313.27362056755135
2019-07-18 00:00:00 UTC,1.1320732796825177,907153.6421243348,904.6184002243334
2019-07-19 00:00:00 UTC,1.3691258620507634,1086000.2176596995,1055.2956929262857
2019-07-20 00:00:00 UTC,1.3156520825574463,1043584.441449144,1310.2265052983935
2019-07-21 00:00:00 UTC,1.2726354789220535,1009463.3703293257,158.77514460428952
2019-07-22 00:00:00 UTC,1.2910410583936172,1024062.8048052258,1110.9035732909656
2019-07-23 00:00:00 UTC,1.2583571851838897,998137.7277881579,242.17733229177725
2019-07-24 00:00:00 UTC,1.1684674497442233,926836.5604092659,601.7403220079743
2019-07-25 00:00:00 UTC,1.1796357592701523,935695.3417033994,485.68839925267497
2019-07-26 00:00:00 UTC,1.233803008139936,978661.1826776542,3317.3372926076295
2019-07-27 00:00:00 UTC,1.2179344637629852,966074.1421980461,1310.7850388461052
